Number,Name,x,y
288,S3-4,643.426,1172.63
289,S3-5,548.159,1206.81
290,S3-6,599.418,1218.61
291,S4-1,-293.252,1723.89
292,S4-2,-352.955,1732.79
293,S4-3,-259.178,1755.17
294,S4-4,-313.517,1777.99
295,S4-5,-290.868,1815.39
296,S4-6,-354.843,1817.17
297,E5-1,-567.729,-2148.12
298,E5-2,-503.853,-2112.06
299,E5-3,-571.404,-2104.71
300,E5-4,-619.783,-2089.46
301,E5-5,-531.37,-2062.74
302,E5-6,-564.649,-2023.67
303,E6-1,682.851,-2769.05
304,E6-2,728.845,-2752.02
305,E6-3,691.394,-2720.1
306,E6-4,760.941,-2709.66
307,E6-5,645.897,-2698.18
308,E6-6,734.02,-2672.48
309,E7-1,2640.02,-2659.55
310,E7-2,2675.89,-2629.42
311,E7-3,2612.89,-2616.41
312,E7-4,2720.94,-2636.56
313,E7-5,2607.17,-2569.39
314,E7-6,2656.05,-2575.84
315,E8-1,4658.28,-1297.27
316,E8-2,4717.98,-1273.89
317,E8-3,4608.21,-1265.32
318,E8-4,4704.08,-1226.36
319,E8-5,4658.68,-1221.35
320,E8-6,4603.25,-1213.33
321,E9-1,6122.48,1593.55
322,E9-2,6164.71,1628.95
323,E9-3,6119.11,1649.43
324,E9-4,6210.25,1655.78
325,E9-5,6168.93,1580.21
326,E9-6,6212.47,1605.2
327,S5-1,-1522.69,1460.95
328,S5-2,-1530.93,1515.39
329,S5-3,-1459.11,1538.76
330,S5-4,-1575.63,1543.1
331,S5-5,-1503.91,1550.45
332,S5-6,-1551.59,1579.17
333,S6-1,-2734.63,687.172
334,S6-2,-2674.83,686.17
335,S6-3,-2704.63,717.562
336,S6-4,-2655.76,750.958
337,S6-5,-2752.91,754.631
338,S6-6,-2699.77,775.003
339,S7-1,-3559.07,-1009.28
340,S7-2,-3612.71,-975.33
341,S7-3,-3518.34,-967.871
342,S7-4,-3558.67,-941.489
343,S7-5,-3530.95,-906.757
344,S7-6,-3605.76,-899.855
345,S8-1,-3457.93,-3498.87
346,S8-2,-3414.32,-3496.2
347,S8-3,-3372.2,-3458.46
348,S8-4,-3410.35,-3435.19
349,S8-5,-3453.76,-3421.17
350,S8-6,-3419.68,-3382.65
351,S9-1,-1598.56,-6254.6
352,S9-2,-1700.22,-6238.37
353,S9-3,-1646.68,-6208.2
354,S9-4,-1710.46,-6193.06
355,S9-5,-1588.48,-6197.23
356,S9-6,-1684.63,-6156.1
357,N5-1,2043.23,478.669
358,N5-2,2091.81,489.356
359,N5-3,2017.9,518.187
360,N5-4,2063.7,534.328
361,N5-5,2121.81,559.152
362,N5-6,2057.44,576.629
363,N6-1,1970.15,1988.15
364,N6-2,2037.01,1990.71
365,N6-3,1994.59,2030.12
366,N6-4,1950.58,2033.35
367,N6-5,2040.09,2038.24
368,N6-6,2003.03,2083
369,N7-1,942.837,3541.39
370,N7-2,899.823,3561.43
371,N7-3,990.321,3552.97
372,N7-4,1014.36,3590.26
373,N7-5,971.745,3606.4
374,N7-6,931.115,3620.87
375,N8-1,-1284.96,4647.12
376,N8-2,-1201.62,4681.3
377,N8-3,-1307.32,4687.98
378,N8-4,-1258.04,4705.79
379,N8-5,-1296.49,4730.06
380,N8-6,-1224.47,4744.86
381,N9-1,-4477.46,4469.68
382,N9-2,-4447.06,4503.74
383,N9-3,-4537.26,4510.53
384,N9-4,-4489.78,4523.34
385,N9-5,-4462.76,4564.75
386,N9-6,-4524.84,4568.53
387,E10-1,6981.33,-4131.27
388,E10-2,6937.12,-4110.12
389,E10-3,7046.59,-4104.55
390,E10-4,6984.31,-4066.71
391,E10-5,6950.73,-4027.74
392,E10-6,7033.48,-4022.29
393,E11-1,9906.79,-3799.1
394,E11-2,9844.8,-3788.85
395,E11-3,9871.03,-3742.66
396,E11-4,9947.49,-3744.45
397,E11-5,9847.39,-3705.92
398,E11-6,9912.62,-3704.04
399,E12-1,9473.07,-9745.64
400,E12-2,9424.1,-9709.47
401,E12-3,9360.02,-9702.34
402,E12-4,9464.13,-9680.3
403,E12-5,9420.12,-9660.15
404,E12-6,9374.13,-9659.15
405,E13-1,17335.1,1384.25
406,E13-2,17242.2,1387.37
407,E13-3,17292.2,1399.39
408,E13-4,17244.3,1432.56
409,E13-5,17319.2,1437.57
410,E13-6,17285.2,1462.73
411,E14-1,22728.2,4309.6
412,E14-2,22666.2,4354.91
413,E14-3,22708.1,4358.99
414,E14-4,22774.1,4375.95
415,E14-5,22693.3,4417.14
416,E14-6,22760.6,4415.93
417,E15-1,28168.7,-7576.93
418,E15-2,28088.4,-7547.21
419,E15-3,28213.7,-7524.91
420,E15-4,28140.1,-7501.79
421,E15-5,28184,-7495
422,E15-6,28090.6,-7494.44
423,E16-1,42794.6,-14215
424,E16-2,42744.7,-14194.8
425,E16-3,42863.9,-14184.6
426,E16-4,42768.1,-14155
427,E16-5,42812.2,-14142.7
428,E16-6,42769.2,-14112.8
429,S10-1,-7024.96,-4381.97
430,S10-2,-7004.69,-4340.23
431,S10-3,-6959.99,-4336.22
432,S10-4,-7041.94,-4317.41
433,S10-5,-6998.43,-4282.68
434,S10-6,-7054.26,-4274.44
435,S11-1,-9746.52,-8358.93
436,S11-2,-9703.49,-8356.02
437,S11-3,-9681.38,-8316.89
438,S11-4,-9814.44,-8319.34
439,S11-5,-9756.38,-8304.42
440,S11-6,-9713.31,-8268.15
441,S12-1,-14164.3,-4546.38
442,S12-2,-14223.6,-4528.79
